DISCTAG,length,sex
3D61534B143ED,101,F
3D61534B143EB,139,F
3D61534B143EA,100,F
3D61534B143E8,132,F
3D61534B143E7,99,F
3D61534B143E6,100,F
3D61534B143E5,98,F
3D61534B143E4,130,F
3D61534B143E1,93,F
3D61534B143DF,93,F
3D61534B143DD,80,F
3D61534B143DC,77.5,F
3D61534B143DB,108,F
3D61534B143DA,101,F
3D61534B143D6,90,F
3D61534B143D5,97,F
3D61534B143D4,102,F
3D61534B143D1,125,F
3D61534B143D0,104,F
3D61534B143CC,137,F
3D61534B143CB,101,F
3D61534B143CA,99,F
3D61534B143C7,137,F
3D61534B143C6,146,F
3D61534B143C1,111,F
3D61534B143BE,98,F
3D61534B143BC,56,F
3D61534B143BA,80,F
3D61534B143B9,87,F
3D61534B143B8,114,F
3D61534B143B5,139,F
3D61534B143B4,82,F
3D61534B143B3,129,F
3D61534B143B2,230,F
3D61534B143B1,90,F
3D61534B143B0,89,F
3D61534B143AF,105,F
3D61534B143AE,94,F
3D61534B143AD,121.5,F
3D61534B143AC,145.5,F
3D61534B143AB,55.5,F
3D61534B143A9,109,F
3D61534B143A8,39.5,F
3D61534B143A7,98,F
3D61534B143A6,138.5,F
3D61534B143A4,94,F
3D61534B143A3,101,F
3D61534B143A2,104,F
3D61534B143A1,146,F
3D61534B143A0,89,F
3D61534B1439F,71.5,F
3D61534B1439E,121,F
3D61534B1439D,139,F
3D61534B1439C,94,F
3D61534B1439B,87,F
3D61534B1439A,138,F
3D61534B14399,152.5,F
3D61534B14398,80,F
3D61534B14397,99,F
3D61534B14396,173,F
3D61534B14395,94,F
3D61534B14394,96,F
3D61534B14393,85.5,F
3D61534B14392,139.5,F
3D61534B14391,78,F
3D61534B14390,104,F
3D61534B1438F,130,F
3D61534B1438E,102.5,F
3D61534B1438D,90,F
3D61534B1438C,77,F
3D61534B1438B,220,F
3D61534B1438A,116,F
3D61534B14389,102.5,F
3D61534B14388,140,F
3D61534B14387,104,F
3D61534B14386,128,F
3D61534B14385,58.5,F
3D61534B14384,167,F
3D61534B14383,105,F
3D61534B14382,120,F
3D61534B14381,96,F
3D61534B14380,101,F
3D61534B1437F,97.5,F
3D61534B1437E,78,F
3D61534B1437D,90.5,F
3D61534B1437C,74,F
3D61534B1437B,122,F
3D61534B1437A,107,F
3D61534B14379,131,F
3D61534B14378,103,F
3D61534B14377,75,F
3D61534B14376,107.5,F
3D61534B14375,165,F
3D61534B14374,98,F
3D61534B14373,129,F
3D61534B14371,115,F
3D61534B14370,88,F
3D61534B1436F,91,F
3D61534B1436E,134,F
3D61534B1436D,87,F
3D61534B1436C,56,F
3D61534B1436B,92.5,F
3D61534B1436A,170,F
3D61534B14369,89,F
3D61534B14368,76,F
3D61534B14367,90.5,F
3D61534B14366,190,F
3D61534B14365,96,F
3D61534B14364,192,F
3D61534B14363,99.5,F
3D61534B14362,94,F
3D61534B14361,89,F
3D61534B14360,134,F
3D61534B1435F,161,F
3D61534B1435E,135,F
3D61534B1435D,163,F
3D61534B1435C,98.5,F
3D61534B1435B,88.5,F
3D61534B14359,109.5,F
3D61534B14358,157.5,F
3D61534B14357,79,F
3D61534B14356,94,F
3D61534B14355,118.5,F
3D61534B14354,86,F
3D61534B14353,80,F
3D61534B14352,78.5,F
3D61534B14351,151,F
3D61534B14350,88,F
3D61534B1434F,158,F
3D61534B1434E,99,F
3D61534B142A7,131,F
3D61534B14288,91,F
3D61534B14284,95.5,F
3D61534B14283,100,F
3D61534B14282,144.5,F
3D61534B14281,98,F
3D61534B14280,148,F
3D61534B1427F,103.5,F
3D61534B1427E,57.5,F
3D61534B1427D,92,F
3D61534B1427B,56,F
3D61534B14279,160,F
