DiscTag,1,2,3,4
3D615343DBF2A,1,0,0,0
3D615343DBF56,0,0,1,0
3D61534920C63,0,0,0,1
3D61534920C64,0,0,0,1
3D61534920C65,0,0,0,1
3D61534920C66,0,0,0,1
3D61534920C68,0,0,1,0
3D61534920C69,0,0,0,1
3D61534920C6A,0,0,0,1
3D61534920C6B,0,0,1,0
3D61534920C6F,0,0,0,1
3D61534920C70,0,0,0,1
3D61534920C71,0,0,0,1
3D61534920C72,0,0,0,1
3D61534920C73,0,0,0,1
3D61534920C74,0,0,0,1
3D61534920C75,0,0,0,1
3D61534920C76,0,0,0,1
3D61534920C77,0,0,0,1
3D61534920C78,0,0,0,1
3D61534920C79,0,0,0,1
3D61534920C7A,0,0,0,1
3D61534920C7B,0,0,1,0
3D61534920C7C,0,0,0,1
3D61534920C7D,0,0,0,1
3D61534920C7E,0,0,1,0
3D61534920C7F,0,0,0,1
3D61534920C80,0,0,0,1
3D61534920C81,0,0,0,1
3D61534920C82,0,0,0,1
3D61534920C83,0,0,0,1
3D61534920C85,0,0,0,1
3D61534920C86,0,0,1,0
3D61534920C8A,0,0,1,0
3D61534920C8B,0,0,0,1
3D61534920C8C,0,0,0,1
3D61534920C8E,0,0,0,1
3D61534920C90,0,0,0,1
3D61534920C91,0,0,0,1
3D61534920C92,0,0,0,1
3D61534920C93,0,0,0,1
3D61534920C96,0,0,0,1
3D61534920C97,0,0,0,1
3D61534920C98,0,0,0,1
3D61534920C9A,0,0,0,1
3D61534920C9B,0,0,0,1
3D61534920C9C,0,0,0,1
3D61534920C9D,0,0,1,0
3D61534920C9E,0,0,0,1
3D61534920C9F,0,0,0,1
3D61534920CA1,0,0,0,1
3D61534920CA2,0,0,0,1
3D61534920CA3,0,0,0,1
3D61534920CA4,0,0,0,1
3D61534920CA5,0,0,0,1
3D61534920CA8,0,0,0,1
3D61534920CA9,0,0,0,1
3D61534920CAA,0,0,1,0
3D61534920CAB,0,0,0,1
3D61534920CAD,0,0,0,1
3D61534920CAE,0,0,0,1
3D61534920CAF,0,0,0,1
3D61534920CB3,0,0,0,1
3D61534920CB4,0,0,0,1
3D61534920CB6,0,0,0,1
3D61534920CB7,0,0,0,1
