DiscTag,sex,length
3D61534BAAFCA,M,124
3D61534BAAFCB,M,134
3D61534BAAFCC,M,139
3D61534BAAFCD,M,80
3D61534BAAFCE,M,186
3D61534BAAFCF,M,140
3D61534BAAFD0,M,146
3D61534BAAFD1,M,129
3D61534BAAFD2,M,207
3D61534BAAFD4,M,157
3D61534BAAFD6,M,109
3D61534BAAFD7,M,89
3D61534BAAFD9,M,158
3D61534BAAFDA,M,154
3D61534BAAFDB,M,167
3D61534BAAFDD,M,185
3D61534BAAFDF,M,86
3D61534BAAFE0,M,63
3D61534BAAFE1,M,93
3D61534BAAFE2,M,96
3D61534BAAFE3,M,87
3D61534BAAFE4,M,132
3D61534BAAFE5,M,169
3D61534BAAFE6,M,92
3D61534BAAFE7,M,171
3D61534BAAFE8,M,140
3D61534BAAFE9,M,106
3D61534BAAFEB,M,169
3D61534BAAFEC,M,52
3D61534BAAFEE,M,123
3D61534BAAFEF,M,115
3D61534BAAFF0,M,147
3D61534BAAFF2,M,137
3D61534BAAFF5,M,161
3D61534BAAFF6,M,129
3D61534BAAFF7,M,148
3D61534BAAFF8,M,164
3D61534BAAFFA,M,135
3D61534BAAFFB,M,99
3D61534BAAFFC,M,94
3D61534BAAFFE,M,137
3D61534BAAFFF,M,160
3D61534BAB001,M,220
3D61534BAB002,M,146
3D61534BAB003,M,184
3D61534BAB004,M,166
3D61534BAB005,M,124
3D61534BAB006,M,140
3D61534BAB007,M,133
3D61534BAB008,M,144
3D61534BAB009,M,165
3D61534BAB00A,M,95
3D61534BAB00B,M,99
3D61534BAB00C,M,139
3D61534BAB00D,M,130
3D61534BAB00E,M,110
3D61534BAB010,M,55
3D61534BAB078,M,96
3D61534BAB07B,M,116
3D61534BAB07E,M,172
3D61534BAB07F,M,129
3D61534BAB086,M,137
3D61534BAB087,M,144
3D61534BAB088,M,144
3D61534BAB08C,M,143
3D61534BAB08D,M,146
3D61534BAB08E,M,92
3D61534BAB08F,M,129
3D61534BAB090,M,86
3D61534BAB091,M,121
3D61534BAB092,M,95
3D61534BAB093,M,143
3D61534BAB094,M,92
3D61534BAB095,M,94
3D61534BAB096,M,109
3D61534BAB097,M,154
3D61534BAB098,M,180
3D61534BAB099,M,102
3D61534BAB09A,M,140
3D61534BAB09D,M,122
3D61534BAB09F,M,140
3D61534BAB0A0,M,138
3D61534BAB0A1,M,101
3D61534BAB0A6,M,178
3D61534BAB0A7,M,161
3D61534BAB0A8,M,145
3D61534BAB0A9,M,168
3D61534BAB0AA,M,167
3D61534BAB0AB,M,150
3D61534BAB0AC,M,128
3D61534BAB0AD,M,145
3D61534BAB0AF,M,160
3D61534BAB0B0,M,168
3D61534BAB0B1,M,162
3D61534BAB0B2,M,180
3D61534BAB0B3,M,192
3D61534BAB0B4,M,120
3D61534BAB0B6,M,172
3D61534BAB0B8,M,154
3D61534BAB0B9,M,105
3D61534BAB0BB,M,145
3D61534BAB0BC,M,150
3D61534BAB0BD,M,102
3D61534BAB0BF,M,168
3D61534BAB0C0,M,99
3D61534BAB0C1,M,154
3D61534BAB0C2,M,127
3D61534BAB0C4,M,150
3D61534BAB0C5,M,103
3D61534BAB0C6,M,117
3D61534BAB0C8,M,104
3D61534BAB0C9,M,98
3D61534BAB0CA,M,103
3D61534BAB0CC,M,113
3D61534BAB0CD,M,121
3D61534BAB0CF,M,149
3D61534BAB0D1,M,138
3D61534BAB0D2,M,148
3D61534BAB0D3,M,170
3D61534BAB0D4,M,146
3D61534BAB0D6,M,151
3D61534BAB0D9,M,129
3D61534BAF878,M,140
3D61534BAF879,M,105
3D61534BAF87A,M,86
3D61534BAF87B,M,173
3D61534BAF87C,M,179
3D61534BAF87D,M,173
3D61534BAF87E,M,79
3D61534BAF87F,M,176
3D61534BAF880,M,153
3D61534BAF881,M,99
3D61534BAF882,M,157
3D61534BAF883,M,107
3D61534BAF884,M,180
3D61534BAF886,M,183
3D61534BAF887,M,150
3D61534BAF888,M,84
3D61534BAF889,M,125
3D61534BAF88A,M,169
3D61534BAF88B,M,152
